Display Year,Event,Region,Category,Year
15000 BCE,Lascaux Cave paintings created,France,Prehistory,-15000
8000 BCE,Agricultural Revolution begins in the Fertile Crescent,Middle East,Social,-8000
3500 BCE,Invention of the wheel,Mesopotamia,Technology,-3500
3300 BCE,Invention of Cuneiform writing,Mesopotamia,Culture,-3300
3100 BCE,Unification of Upper and Lower Egypt,Egypt,Politics,-3100
2560 BCE,Completion of the Great Pyramid of Giza,Egypt,Architecture,-2560
2500 BCE,Stonehenge main stones erected,Britain,Prehistory,-2500
2100 BCE,Epic of Gilgamesh written (earliest known versions),Mesopotamia,Culture,-2100
2000 BCE,First domestication of the horse,Central Asia,Social,-2000
1754 BCE,Code of Hammurabi established,Mesopotamia,Law,-1754
1700 BCE,Indus Valley Civilization reaches its peak,South Asia,Politics,-1700
1500 BCE,Composition of the Rig Veda begins,India,Religion,-1500
1400 BCE,Knossos Palace construction (Minoan Civilization),Crete,Architecture,-1400
1300 BCE,Iron Age begins in the Near East,Middle East,Technology,-1300
1274 BCE,Battle of Kadesh (Egyptians vs. Hittites),Middle East,Warfare,-1274
1200 BCE,The Trojan War (traditional date),Greece/Anatolia,Warfare,-1200
1184 BCE,Traditional date for the Fall of Troy,Anatolia,Warfare,-1184
814 BCE,Founding of Carthage by Phoenicians,North Africa,Politics,-814
800 BCE,Upanishads composed,India,Religion,-800
776 BCE,First Ancient Olympic Games,Greece,Culture,-776
753 BCE,Founding of Rome (traditional date),Italy,Politics,-753
612 BCE,Fall of Nineveh (End of Assyrian Empire),Mesopotamia,Warfare,-612
586 BCE,Babylonian Captivity begins; Destruction of First Temple,Judea,Religion,-586
563 BCE,Birth of Siddhartha Gautama (The Buddha),India,Religion,-563
550 BCE,Cyrus the Great founds the Achaemenid Empire,Persia,Politics,-550
509 BCE,Establishment of the Roman Republic,Rome,Politics,-509
490 BCE,Battle of Marathon,Greece,Warfare,-490
480 BCE,Battle of Thermopylae,Greece,Warfare,-480
447 BCE,Construction of the Parthenon begins,Greece,Architecture,-447
431 BCE,Peloponnesian War begins,Greece,Warfare,-431
430 BCE,Plague of Athens,Greece,Disaster,-430
399 BCE,Execution of Socrates,Greece,Culture,-399
356 BCE,Temple of Artemis destroyed,Anatolia,Disaster,-356
331 BCE,Battle of Gaugamela (Alexander the Great defeats Persia),Persia,Warfare,-331
250 BCE,Edicts of Ashoka spread Buddhism,India,Religion,-250
250 BCE,Archimedes discovers buoyancy principle,Greece/Sicily,Science,-250
240 BCE,Eratosthenes calculates Earth's circumference,Egypt,Science,-240
221 BCE,Qin Shi Huang unifies China,China,Politics,-221
214 BCE,Great Wall of China construction begins under Qin Shi Huang,China,Architecture,-214
202 BCE,Founding of the Han Dynasty,China,Politics,-202
146 BCE,Destruction of Carthage by Rome,North Africa,Warfare,-146
146 BCE,Battle of Corinth (Greece falls to Rome),Greece,Warfare,-146
133 BCE,Tiberius Gracchus proposes land reform,Rome,Politics,-133
73 BCE,Spartacus leads the Third Servile War,Italy,Warfare,-73
52 BCE,Battle of Alesia (Caesar defeats Vercingetorix),Gaul,Warfare,-52
48 BCE,Burning of the Library of Alexandria,Egypt,Disaster,-48
44 BCE,Assassination of Julius Caesar,Rome,Politics,-44
27 BCE,Octavian becomes Augustus; Beginning of Roman Empire,Rome,Politics,-27
4 BCE,Estimated Birth of Jesus of Nazareth,Judea,Religion,-4
9 CE,Battle of the Teutoburg Forest,Germany,Warfare,9
43 CE,Roman Invasion of Britain,Britain,Warfare,43
70 CE,Siege of Jerusalem and destruction of Second Temple,Judea,Warfare,70
79 CE,Eruption of Mount Vesuvius destroys Pompeii,Italy,Disaster,79
98 CE,Trajan becomes Roman Emperor (Empire at its peak),Rome,Politics,98
105 CE,Cai Lun invents paper making process,China,Technology,105
122 CE,Construction of Hadrian's Wall begins,Britain,Architecture,122
165 CE,Antonine Plague begins,Roman Empire,Disaster,165
220 CE,End of the Han Dynasty,China,Politics,220
301 CE,Edict on Maximum Prices issued by Diocletian,Rome,Economics,301
313 CE,Edict of Milan (Christianity legalized in Rome),Rome,Religion,313
325 CE,First Council of Nicaea,Roman Empire,Religion,325
330 CE,Constantinople becomes the capital of the Roman Empire,Byzantium,Politics,330
391 CE,Christianity becomes the state religion of Rome,Rome,Religion,391
395 CE,Final Division of the Roman Empire (East and West),Europe/Asia,Politics,395
410 CE,Sack of Rome by the Visigoths,Italy,Warfare,410
451 CE,Battle of the Catalaunian Plains (Attila the Hun stopped),Europe,Warfare,451
451 CE,Council of Chalcedon,Byzantine Empire,Religion,451
476 CE,Fall of the Western Roman Empire,Europe,Politics,476
529 CE,Code of Justinian published,Byzantine Empire,Law,529
541 CE,Plague of Justinian begins,Mediterranean,Disaster,541
618 CE,Founding of the Tang Dynasty,China,Politics,618
622 CE,The Hegira (Prophet Muhammad moves to Medina),Arabia,Religion,622
632 CE,Death of Prophet Muhammad; First Caliphate begins,Arabia,Religion,632
711 CE,Umayyad conquest of Hispania begins,Spain/Iberia,Warfare,711
726 CE,Byzantine Iconoclasm begins,Byzantine Empire,Religion,726
732 CE,Battle of Tours (Charles Martel stops Umayyad advance),France,Warfare,732
750 CE,Abbasid Caliphate established,Middle East,Politics,750
793 CE,Viking raid on Lindisfarne,England,Warfare,793
800 CE,Charlemagne crowned Holy Roman Emperor,Europe,Politics,800
843 CE,Treaty of Verdun (Division of the Frankish Empire),Europe,Politics,843
862 CE,Founding of the Rurik Dynasty (Rus'),Russia/Ukraine,Politics,862
868 CE,Printing of the Diamond Sutra (earliest dated printed book),China,Culture,868
960 CE,Founding of the Song Dynasty,China,Politics,960
1000 CE,Leif Erikson reaches North America (Vinland),North America,Exploration,1000
1054 CE,Great Schism (East-West Church Split),Europe/Asia,Religion,1054
1066 CE,Battle of Hastings; Norman Conquest,England,Warfare,1066
1088 CE,University of Bologna founded,Italy,Education,1088
1096 CE,First Crusade begins,Middle East,Warfare,1096
1113 CE,Construction of Angkor Wat begins,Cambodia,Architecture,1113
1150 CE,University of Paris founded,France,Education,1150
1170 CE,Assassination of Thomas Becket,England,Politics,1170
1185 CE,Establishment of the Kamakura Shogunate,Japan,Politics,1185
1204 CE,Sack of Constantinople (Fourth Crusade),Byzantine Empire,Warfare,1204
1206 CE,Genghis Khan proclaimed leader of the Mongols,Mongolia,Politics,1206
1215 CE,Signing of the Magna Carta,England,Law,1215
1241 CE,Battle of Legnica (Mongol invasion of Europe),Poland,Warfare,1241
1258 CE,Siege of Baghdad by the Mongols,Middle East,Warfare,1258
1271 CE,Marco Polo begins travels to Asia,Global,Exploration,1271
1274 CE,Unsuccessful Mongol invasion of Japan (Kamikaze),Japan,Warfare,1274
1281 CE,Second Mongol invasion of Japan failed (Kamikaze),Japan,Warfare,1281
1324 CE,Mansa Musa's pilgrimage to Mecca,West Africa,Religion,1324
1337 CE,Hundred Years' War begins,Europe,Warfare,1337
1347 CE,The Black Death arrives in Europe,Europe,Disaster,1347
1368 CE,Establishment of the Ming Dynasty,China,Politics,1368
1381 CE,Peasants' Revolt in England,England,Politics,1381
1415 CE,Battle of Agincourt,France,Warfare,1415
1429 CE,Joan of Arc lifts the Siege of Orléans,France,Warfare,1429
1431 CE,Trial and execution of Joan of Arc,France,Warfare,1431
1440 CE,Gutenberg invents the printing press,Germany,Technology,1440
1453 CE,Fall of Constantinople to the Ottomans,Byzantine Empire,Warfare,1453
1492 CE,Columbus reaches the Americas; Fall of Granada,Global,Exploration,1492
1494 CE,Treaty of Tordesillas divides the New World,Global,Law,1494
1495 CE,Leonardo da Vinci paints 'The Last Supper',Italy,Culture,1495
1498 CE,Vasco da Gama reaches India by sea,Global,Exploration,1498
1501 CE,Safavid Dynasty founded in Persia,Persia,Politics,1501
1513 CE,Balboa reaches the Pacific Ocean,Americas,Exploration,1513
1517 CE,Martin Luther's 95 Theses (Reformation begins),Germany,Religion,1517
1519 CE,Magellan's expedition begins first circumnavigation,Global,Exploration,1519
1521 CE,Fall of the Aztec Empire (Cortés),Mexico,Warfare,1521
1526 CE,Battle of Panipat; Founding of the Mughal Empire,India,Politics,1526
1533 CE,Fall of the Inca Empire (Pizarro),Peru,Warfare,1533
1534 CE,Act of Supremacy (Church of England established),England,Religion,1534
1543 CE,Copernicus publishes 'De revolutionibus orbium coelestium',Poland,Science,1543
1545 CE,Council of Trent begins,Italy,Religion,1545
1555 CE,Peace of Augsburg,Germany,Law,1555
1571 CE,Battle of Lepanto,Mediterranean,Warfare,1571
1582 CE,Gregorian Calendar introduced,Europe,Culture,1582
1588 CE,Defeat of the Spanish Armada,England/Spain,Warfare,1588
1598 CE,Edict of Nantes signed,France,Law,1598
1602 CE,Dutch East India Company founded,Global,Trade,1602
1603 CE,Tokugawa Shogunate established,Japan,Politics,1603
1607 CE,Founding of Jamestown (first permanent English colony),North America,Politics,1607
1610 CE,Galileo discovers the Galilean moons of Jupiter,Italy,Science,1610
1618 CE,Thirty Years' War begins,Europe,Warfare,1618
1619 CE,First enslaved Africans arrive in Virginia,North America,Social,1619
1620 CE,The Mayflower arrives at Plymouth Rock,North America,Exploration,1620
1637 CE,Peak of Tulip Mania,Netherlands,Economics,1637
1642 CE,English Civil War begins,England,Warfare,1642
1644 CE,Fall of the Ming Dynasty,China,Politics,1644
1648 CE,Peace of Westphalia,Europe,Law,1648
1652 CE,Founding of Cape Town by Dutch East India Co.,South Africa,Politics,1652
1665 CE,Great Plague of London,England,Disaster,1665
1666 CE,Great Fire of London,England,Disaster,1666
1687 CE,Newton publishes Principia Mathematica,England,Science,1687
1689 CE,English Bill of Rights signed,England,Law,1689
1692 CE,Salem Witch Trials,North America,Law,1692
1694 CE,Bank of England established,UK,Economics,1694
1703 CE,Founding of Saint Petersburg,Russia,Politics,1703
1712 CE,Newcomen steam engine invented,UK,Technology,1712
1755 CE,Great Lisbon Earthquake,Portugal,Disaster,1755
1756 CE,Seven Years' War begins,Global,Warfare,1756
1769 CE,James Watt patents improved steam engine,UK,Technology,1769
1773 CE,Boston Tea Party,USA,Politics,1773
1776 CE,U.S. Declaration of Independence,North America,Politics,1776
1781 CE,Battle of Yorktown (Surrender of Cornwallis),USA,Warfare,1781
1783 CE,Treaty of Paris (ends American Revolution),Global,Law,1783
1789 CE,French Revolution begins; Storming of the Bastille,France,Politics,1789
1791 CE,Haitian Revolution begins,Haiti,Politics,1791
1793 CE,Execution of Louis XVI,France,Politics,1793
1796 CE,Edward Jenner develops smallpox vaccine,UK,Science,1796
1799 CE,Discovery of the Rosetta Stone,Egypt,Culture,1799
1803 CE,Louisiana Purchase,USA/France,Politics,1803
1804 CE,Napoleon crowned Emperor of the French,France,Politics,1804
1812 CE,Napoleon's disastrous invasion of Russia,Russia,Warfare,1812
1815 CE,Battle of Waterloo,Belgium,Warfare,1815
1821 CE,Greek War of Independence begins,Greece,Politics,1821
1825 CE,First public steam railway (Stockton and Darlington),UK,Technology,1825
1833 CE,Slavery Abolition Act (British Empire),Global,Law,1833
1837 CE,Coronation of Queen Victoria,UK,Politics,1837
1839 CE,First Opium War begins,China,Warfare,1839
1844 CE,First telegraph message sent by Samuel Morse,USA,Technology,1844
1845 CE,Irish Potato Famine begins,Ireland,Disaster,1845
1848 CE,Revolutions of 1848 across Europe,Europe,Politics,1848
1850 CE,Taiping Rebellion begins,China,Warfare,1850
1851 CE,The Great Exhibition in London,UK,Culture,1851
1853 CE,Commodore Perry arrives in Japan,Japan,Politics,1853
1854 CE,Charge of the Light Brigade (Crimean War),Crimea,Warfare,1854
1854 CE,Battle of Balaclava (Crimean War),Crimea,Warfare,1854
1859 CE,Darwin publishes On the Origin of Species,UK,Science,1859
1861 CE,American Civil War begins; Unification of Italy,USA/Italy,Politics,1861
1865 CE,Assassination of Abraham Lincoln,USA,Politics,1865
1867 CE,Alaska Purchase,USA/Russia,Politics,1867
1868 CE,Meiji Restoration,Japan,Politics,1868
1869 CE,Opening of the Suez Canal,Egypt,Trade,1869
1869 CE,Completion of the Transcontinental Railroad,USA,Technology,1869
1871 CE,Unification of Germany,Germany,Politics,1871
1876 CE,Alexander Graham Bell patents the telephone,USA,Technology,1876
1884 CE,Berlin Conference (Scramble for Africa),Global,Politics,1884
1885 CE,Invention of the first gasoline-powered car (Benz),Germany,Technology,1885
1885 CE,Berlin Conference concludes (Division of Africa),Global,Politics,1885
1895 CE,Lumičre brothers hold first public film screening,France,Culture,1895
1896 CE,First Modern Olympic Games,Greece,Culture,1896
1898 CE,Spanish-American War,USA/Cuba/Philippines,Warfare,1898
1898 CE,Marie and Pierre Curie discover Radium,France,Science,1898
1901 CE,Federation of Australia,Australia,Politics,1901
1903 CE,Wright Brothers' first powered flight,USA,Technology,1903
1904 CE,Russo-Japanese War begins,Global,Warfare,1904
1905 CE,Einstein publishes the Special Theory of Relativity,Germany,Science,1905
1911 CE,Roald Amundsen reaches the South Pole,Antarctica,Exploration,1911
1912 CE,Sinking of the Titanic,Atlantic Ocean,Disaster,1912
1912 CE,Republic of China established,China,Politics,1912
1914 CE,World War I begins,Global,Warfare,1914
1915 CE,Gallipoli Campaign begins,Ottoman Empire,Warfare,1915
1916 CE,Battle of the Somme,France,Warfare,1916
1917 CE,Russian Revolution,Russia,Politics,1917
1918 CE,End of WWI; Spanish Flu pandemic,Global,Global,1918
1919 CE,Treaty of Versailles signed,Global,Law,1919
1920 CE,League of Nations established,Global,Politics,1920
1921 CE,Discovery of Insulin,Canada,Science,1921
1922 CE,Discovery of Tutankhamun's Tomb,Egypt,Archaeology,1922
1927 CE,Charles Lindbergh's solo transatlantic flight,Global,Technology,1927
1928 CE,Alexander Fleming discovers Penicillin,UK,Science,1928
1929 CE,Wall Street Crash (Great Depression begins),Global,Economics,1929
1932 CE,Invasion of Manchuria by Japan,China,Warfare,1932
1933 CE,Hitler appointed Chancellor of Germany,Germany,Politics,1933
1934 CE,The Long March begins,China,Politics,1934
1936 CE,Spanish Civil War begins,Spain,Warfare,1936
1937 CE,Hindenburg disaster,USA,Disaster,1937
1938 CE,Munich Agreement,Europe,Politics,1938
1939 CE,World War II begins (Invasion of Poland),Global,Warfare,1939
1941 CE,Attack on Pearl Harbor,USA/Japan,Warfare,1941
1942 CE,Battle of Midway,Pacific Ocean,Warfare,1942
1942 CE,Battle of Stalingrad begins,USSR,Warfare,1942
1944 CE,D-Day (Invasion of Normandy),France,Warfare,1944
1944 CE,Bretton Woods Conference,USA,Economics,1944
1945 CE,End of WWII; Founding of the UN,Global,Politics,1945
1945 CE,Atomic bombings of Hiroshima and Nagasaki,Japan,Warfare,1945
1947 CE,Independence and Partition of India,India/Pakistan,Politics,1947
1948 CE,Establishment of the State of Israel,Middle East,Politics,1948
1948 CE,Universal Declaration of Human Rights,Global,Law,1948
1949 CE,Communist Revolution in China,China,Politics,1949
1949 CE,Formation of NATO,Global,Politics,1949
1950 CE,Korean War begins,Korea,Warfare,1950
1950 CE,Korean War begins,Korea,Warfare,1950
1953 CE,"DNA structure discovered (Watson, Crick, Franklin)",UK,Science,1953
1953 CE,Conquest of Mount Everest (Hillary & Norgay),Nepal,Exploration,1953
1954 CE,Brown v. Board of Education (End of segregation in US schools),USA,Law,1954
1955 CE,Bandung Conference (Non-Aligned Movement),Indonesia,Politics,1955
1956 CE,Suez Crisis,Egypt,Warfare,1956
1957 CE,Launch of Sputnik 1 (Space Age begins),USSR,Technology,1957
1960 CE,Year of Africa (17 nations gain independence),Africa,Politics,1960
1960 CE,First televised US Presidential debate (Kennedy vs Nixon),USA,Culture,1960
1961 CE,Construction of the Berlin Wall; Yuri Gagarin in space,Germany/USSR,Politics,1961
1962 CE,Cuban Missile Crisis,Cuba/USA/USSR,Politics,1962
1963 CE,Assassination of John F. Kennedy,USA,Politics,1963
1964 CE,U.S. Civil Rights Act signed,USA,Politics,1964
1964 CE,Nelson Mandela sentenced to life imprisonment,South Africa,Politics,1964
1967 CE,The Six-Day War,Middle East,Warfare,1967
1967 CE,First successful human heart transplant,South Africa,Science,1967
1968 CE,Prague Spring,Czechoslovakia,Politics,1968
1969 CE,Apollo 11 Moon Landing,Space,Exploration,1969
1970 CE,First Earth Day,Global,Environment,1970
1971 CE,End of the Gold Standard in the US,USA,Economics,1971
1972 CE,Munich Olympics massacre,Germany,Warfare,1972
1973 CE,OPEC Oil Embargo,Global,Economics,1973
1975 CE,End of the Vietnam War,Vietnam,Warfare,1975
1977 CE,Release of the original 'Star Wars',Global,Culture,1977
1978 CE,Camp David Accords,USA/Middle East,Politics,1978
1979 CE,Iranian Revolution,Iran,Politics,1979
1980 CE,Smallpox officially declared eradicated,Global,Science,1980
1981 CE,First Space Shuttle flight (Columbia),USA,Technology,1981
1982 CE,Falklands War,South Atlantic,Warfare,1982
1984 CE,Bhopal Gas Tragedy,India,Disaster,1984
1986 CE,Chernobyl Nuclear Disaster,USSR,Disaster,1986
1986 CE,Space Shuttle Challenger disaster,USA,Disaster,1986
1989 CE,Fall of the Berlin Wall,Germany,Politics,1989
1990 CE,Release of Nelson Mandela,South Africa,Politics,1990
1990 CE,Hubble Space Telescope launched,Space,Science,1990
1991 CE,Dissolution of the Soviet Union; End of Cold War,Global,Politics,1991
1992 CE,Maastricht Treaty signed (Founding of EU),Europe,Law,1992
1992 CE,Earth Summit in Rio de Janeiro,Global,Environment,1992
1993 CE,Oslo Accords signed,Middle East,Politics,1993
1994 CE,End of Apartheid in South Africa,South Africa,Politics,1994
1994 CE,Rwandan Genocide begins,Rwanda,Warfare,1994
1996 CE,Dolly the Sheep (first cloned mammal),UK,Science,1996
1997 CE,Handover of Hong Kong to China,China,Politics,1997
1998 CE,Good Friday Agreement signed,Ireland/UK,Politics,1998
1999 CE,Introduction of the Euro,Europe,Economics,1999
2000 CE,International Space Station receives first crew,Space,Technology,2000
2001 CE,September 11 Terrorist Attacks,USA,Warfare,2001
2003 CE,Completion of the Human Genome Project,Global,Science,2003
2003 CE,Iraq War begins,Iraq,Warfare,2003
2004 CE,Indian Ocean Tsunami,Global,Disaster,2004
2005 CE,Hurricane Katrina,USA,Disaster,2005
2008 CE,Global Financial Crisis,Global,Economics,2008
2010 CE,Deepwater Horizon oil spill,Gulf of Mexico,Disaster,2010
2011 CE,Arab Spring begins,Middle East/North Africa,Politics,2011
2011 CE,Fukushima Daiichi nuclear disaster,Japan,Disaster,2011
2012 CE,Discovery of the Higgs Boson at CERN,Switzerland,Science,2012
2014 CE,Annexation of Crimea by Russia,Europe,Politics,2014
2015 CE,Paris Agreement on climate change,Global,Environment,2015
2016 CE,Brexit Referendum,UK,Politics,2016
2016 CE,Paris Agreement enters into force,Global,Environment,2016
2020 CE,COVID-19 declared a global pandemic,Global,Global,2020
2021 CE,James Webb Space Telescope launched,Space,Science,2021
2021 CE,United States Capitol attack,USA,Politics,2021
2022 CE,Invasion of Ukraine by Russia,Europe,Warfare,2022
2023 CE,Coronation of King Charles III,UK,Politics,2023
2024 CE,Total solar eclipse visible across North America,North America,Science,2024
